X,Y,MEAN_X,MEAN_Y,ID_divisao
-46.763399563631,-23.2381697463957,-46.763399563630990,-23.238169746395695,350960108_.
-47.3156005323224,-22.8075324935577,-47.315600532322421,-22.807532493557705,353340305_3533403002
-45.2871082580089,-23.7382424198377,-45.287108258008878,-23.738242419837679,352040005_3520400012
-45.2996086321881,-23.7344648806518,-45.299608632188061,-23.734464880651799,352040005_3520400011
-47.2946835219467,-22.7849094565843,-47.294683521946737,-22.784909456584341,353340305_3533403010
-49.0580147726616,-22.3287574955374,-49.058014772661565,-22.328757495537417,350600305_3506003012
-49.036776376595,-22.3293094191612,-49.036776376594979,-22.329309419161198,350600305_3506003011
-48.1355414122282,-22.7880580249282,-48.135541412228150,-22.788058024928166,350230905_3502309007
-48.1327464250472,-22.7878738833042,-48.132746425047166,-22.787873883304187,350230905_3502309006
-46.7849005668271,-23.5930082534269,-46.784900566827083,-23.593008253426945,355030865_.
-48.1373773436194,-22.7923920874876,-48.137377343619413,-22.792392087487563,350230905_3502309009
-48.1353333024814,-22.7851057266972,-48.135333302481399,-22.785105726697211,350230905_3502309008
-49.0124934013615,-22.3178157993725,-49.012493401361461,-22.317815799372468,350600305_3506003010
